time; n; mu_gfp; std_gfp; rawData_gfp 
86.7; 50; 32; 46.6476; {0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,0,100,0,0,100,0,100,100,0,100,0,0,0,100}
87.72; 53; 33.9623; 47.3581; {0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,0,0,100,0,100,100,0,100,0,0,0,100,0,100,100,0}
88.74; 56; 37.5; 48.4123; {0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,100,100,0,0,0,100,100,0,0,100,0,0,0,100,0,0,100,100,100,0,100,0,0,100,0,100,100,0,0,100,100,100,0,0,0}
89.76; 61; 34.4262; 47.5127; {0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,100,100,0,0,0,100,100,0,0,100,0,0,0,100,0,0,100,100,100,0,100,0,0,100,0,100,100,0,0,100,100,100,0,0,0,0,0,0,0,0}
90.78; 67; 34.3284; 47.4805; {0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,100,100,0,0,0,100,0,0,100,0,0,0,100,0,0,100,100,100,0,100,0,0,100,0,100,100,0,0,100,100,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100}
91.8; 69; 33.3333; 47.1404; {0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,100,100,0,0,0,100,0,0,100,0,0,0,100,0,0,100,100,100,0,100,0,0,100,0,100,100,0,0,100,100,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,0}
92.82; 69; 33.3333; 47.1404; {0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,100,100,0,0,0,100,0,0,100,0,0,0,100,0,0,100,100,100,0,0,0,100,0,100,100,0,0,100,100,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,100,100}
93.84; 68; 35.2941; 47.7884; {0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,100,100,0,0,0,100,0,0,100,0,0,0,100,0,100,100,100,0,0,0,100,0,100,100,0,100,100,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,100,100,100,0}
94.86; 66; 37.8788; 48.5085; {0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,100,100,0,0,0,100,0,0,100,0,0,0,100,0,100,100,100,0,0,0,100,0,100,100,0,100,100,0,0,0,0,0,0,0,100,100,0,100,0,0,0,100,100,100,100,0}
95.88; 66; 37.8788; 48.5085; {0,0,0,0,0,100,0,0,0,100,0,0,100,0,100,0,0,0,100,100,0,0,0,100,0,0,100,0,0,0,100,0,100,100,100,0,0,0,100,0,100,100,0,100,100,0,0,0,0,0,0,0,100,100,0,100,0,0,0,100,100,100,100,0,100,0}
